feature,importance
avg_word_length,19.77660491222311
unique_word_ratio,18.163781029257585
unique_word_count,11.69454896133985
char_length,10.991297679232947
num_td_keywords,9.635689087923623
has_debt,7.6031306082853884
word_count,6.73334547379646
num_spaces,6.534839668771873
special_char_ratio,6.300029631186165
num_special_chars,1.7357215045962653
has_todo,0.823091314035993
num_digits,0.00416504850416944
digit_ratio,0.0018284673001861844
uppercase_ratio,0.0010971057654473612
num_uppercase,0.0008295077809527023
num_punctuation,0.0
num_tabs,0.0
punctuation_ratio,0.0
num_newlines,0.0
num_code_symbols,0.0
code_symbol_ratio,0.0
has_url,0.0
has_path,0.0
